ID,Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,City,State Of US,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2016-152156,11/8/2016 0:00,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
2,US-2015-108966,10/11/2015 0:00,Standard Class,SO-20335,Sean ODonnell,Consumer,Fort Lauderdale,Florida,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
3,US-2015-108966,10/11/2015 0:00,Standard Class,SO-20335,Sean ODonnell,Consumer,Fort Lauderdale,Florida,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold N Roll Cart System,22.368,2,0.2,2.5164
4,CA-2014-115812,6/9/2014 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
5,CA-2014-115812,6/9/2014 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
6,CA-2014-115812,6/9/2014 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
7,CA-2014-115812,6/9/2014 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
8,CA-2014-115812,6/9/2014 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
9,CA-2017-114412,4/15/2017 0:00,Standard Class,AA-10480,Andrew Allen,Consumer,Concord,North Carolina,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
10,CA-2016-161389,12/5/2016 0:00,Standard Class,IM-15070,Irene Maddox,Consumer,Seattle,Washington,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
11,US-2015-118983,11/22/2015 0:00,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
